entity,political_lean,rank_change,total_engagements,engagements_change,posts,avg_engagements,total_views,Non_Twitter_Views,platforms
CFH Unfiltered,Left-Leaning,-40,655689,-541910,21,31223,4151011,4151011,[TikTok](https://tiktok.com/@cfh.unfiltered)
Josh Greene - Josh the Progressive,Left-Leaning,82,652716,326227,168,3885,5745458,5745458,"[TikTok](https://tiktok.com/@peacefulprogressive), [TikTok](https://www.tiktok.com/@joshtheprogressive)"
Robert Arnold,Left-Leaning,158,650466,466501,13,50036,3351690,3351690,[TikTok](https://www.tiktok.com/@defiance13)
BloxCast,Neutral,-36,650299,-469140,58,11212,4826068,4826068,[TikTok](https://www.tiktok.com/@bloxcast_)
Conscious Lee - George Lee Jr,Left-Leaning,-73,647168,-1391598,118,5484,5214012,5214012,[TikTok](https://www.tiktok.com/@theconsciouslee)
Wired,Neutral,-26,628654,-295307,64,9823,7135059,7135059,[TikTok](https://www.tiktok.com/@wired)
Alexis and Dean,Neutral,63,622260,250384,33,18856,12820426,12820426,[TikTok](https://www.tiktok.com/@alexisanddean)
Daily Wire,Right-Leaning,-124,620950,-5152493,42,14785,7955786,7955786,[TikTok](https://tiktok.com/@dailywire)
The Washington Post,Neutral,-4,616912,-66934,17,36289,6063431,6063431,[TikTok](https://tiktok.com/@washingtonpost)
Adam Kinzinger,Left-Leaning,184,614598,464838,41,14990,3940499,3940499,[TikTok](https://www.tiktok.com/@theadam_kinzinger)
Silent Middle Child,Left-Leaning,-22,606904,-209840,17,35700,3437900,3437900,[TikTok](https://www.tiktok.com/@silentmiddlechild/video)
Robert Reich,Left-Leaning,194,598052,464196,27,22150,3629387,3629387,[TikTok](https://tiktok.com/@rbreich)
Dave Jorgenson,Neutral,7,596216,-10214,21,28391,3874600,3874600,[TikTok](https://www.tiktok.com/@davejorgenson)
The Haunted Side,Right-Leaning,74,594245,283681,66,9004,8846512,8846512,[TikTok](https://www.tiktok.com/@thehauntedside)
Ian Lightfoot,Left-Leaning,0,567837,-60814,32,17745,3201714,3201714,[TikTok](https://www.tiktok.com/@ianllightfoot)
Grand Ole Evan,Right-Leaning,34,560723,77677,41,13676,4750059,4750059,[TikTok](https://www.tiktok.com/@grand_ole_evan)
James Talarico,Left-Leaning,-75,560102,-1109516,36,15558,3056557,3056557,"[TikTok](https://www.tiktok.com/@teamtalaricohq), [TikTok](https://www.tiktok.com/@jamestalarico)"
Andra Berghoff,Left-Leaning,-73,553775,-931944,27,20510,5316218,5316218,[TikTok](https://tiktok.com/@hopeyoufindyourdad)
Turning Point USA,Right-Leaning,0,550761,-61172,20,27538,4579740,4579740,[TikTok](https://www.tiktok.com/@turningpointusaofficial)
Loren Piretra,Left-Leaning,233,546109,456725,59,9256,3190577,3190577,[TikTok](https://www.tiktok.com/@iamlorenp)
Rachel Scott,Neutral,18,538004,10866,22,24455,4194077,4194077,[TikTok](https://www.tiktok.com/@itsrachelscott)
Brownneckbrian,Right-Leaning,359,528222,502675,13,40632,6536884,6536884,[TikTok](https://www.tiktok.com/@brownneckbrianaz)
Braedon Sorbo,Right-Leaning,41,521151,111457,48,10857,4873338,4873338,[TikTok](https://www.tiktok.com/@braedensorbo)
Graham Platner,Left-Leaning,233,514545,430345,68,7567,3478022,3478022,[TikTok](https://www.tiktok.com/@grahamformaine)
Fortune Magazine,Neutral,161,512847,355230,83,6179,6745735,6745735,[TikTok](https://www.tiktok.com/@fortune)
Ruben Gallego,Left-Leaning,156,512659,350966,53,9673,3804259,3804259,[TikTok](https://www.tiktok.com/@rubengallegoaz)
Brad Doggett,Left-Leaning,-28,509994,-224797,10,50999,2311303,2311303,[TikTok](https://www.tiktok.com/@brad.doggett)
Keith Edwards,Left-Leaning,23,504121,30502,48,10503,4228351,4228351,[TikTok](https://www.tiktok.com/@keithedwards)
Abigail Spanberger,Left-Leaning,249,493028,423546,30,16434,3070165,3070165,[TikTok](https://www.tiktok.com/@teamspanberger)
Maggie Reed,Left-Leaning,-20,491334,-162055,76,6465,2008766,2008766,[TikTok](https://tiktok.com/@mermaidmamamaggie)
Trish Regan,Right-Leaning,-60,490072,-553517,239,2051,5379970,5379970,[TikTok](https://www.tiktok.com/@trishregan)
Ding News,Right-Leaning,-48,479634,-397628,33,14534,5265467,5265467,[TikTok](https://www.tiktok.com/@dingnewscorp)
Jeffery Mead,Right-Leaning,76,478567,221622,31,15438,2680185,2680185,[TikTok](https://tiktok.com/@the_jefferymead)
Ben Cohen,Left-Leaning,162,477845,328823,11,43440,1776029,1776029,[TikTok](https://www.tiktok.com/@yobencohen)
Xaviaer DuRousseau,Right-Leaning,93,461898,234503,18,25661,3028106,3028106,[TikTok](https://www.tiktok.com/@xaviaer)
Koch Head,Left-Leaning,-98,455068,-1345628,71,6409,3120077,3120077,[TikTok](https://tiktok.com/@kochead)
Clarkson Lawson,Right-Leaning,9,437349,-53923,7,62478,4237883,4237883,[TikTok](https://tiktok.com/@clarksonlawson)
Yahoo News,Neutral,10,433901,-51956,34,12762,11553964,11553964,[TikTok](https://www.tiktok.com/@yahoonews)
Leigh McGowan,Left-Leaning,-64,430639,-573289,31,13892,1817788,1817788,[TikTok](https://tiktok.com/@iampoliticsgirl)
Nessa Diosdado,Left-Leaning,-52,429740,-402303,31,13863,2455389,2455389,[TikTok](https://www.tiktok.com/@nessadiosdado)
Meghan Elinor,Right-Leaning,290,429211,387876,86,4991,2962015,2962015,[TikTok](https://www.tiktok.com/@meghanelinor)
Parker Sedgwick,Left-Leaning,-120,426054,-2293674,35,12173,5153565,5153565,[TikTok](https://www.tiktok.com/@parkergetajob)
Joy-Ann Reid,Left-Leaning,-18,422595,-162822,35,12074,1943316,1943316,[TikTok](https://www.tiktok.com/@joyreidofficial)
