entity,political_lean,rank_change,total_engagements,engagements_change,posts,avg_engagements,total_views,Non_Twitter_Views,platforms
More Magical Than Practical,Left-Leaning,-66,66723,-60812,9,7414,313399,313399,[TikTok](https://www.tiktok.com/@moremagicalthanpractical)
Richie Fontaine,Left-Leaning,0,66504,-16752,5,13301,213056,213056,[TikTok](https://www.tiktok.com/@fontvne)
The Georgia Peach Club,Left-Leaning,,66061,,2,33031,422286,422286,[TikTok](https://www.tiktok.com/@_peachclub)
WFF News,Right-Leaning,281,64344,59011,8,8043,581493,581493,[TikTok](https://tiktok.com/@wffnews)
Dellara,Left-Leaning,396,64033,62834,14,4574,298311,298311,[TikTok](https://tiktok.com/@dellara)
Wear The Peace,Neutral,-189,63499,-352054,44,1443,464824,464824,[TikTok](https://www.tiktok.com/@wearthepeaceco)
Jacob Frey,Left-Leaning,118,63319,35082,5,12664,1322790,1322790,[TikTok](https://www.tiktok.com/@jacobfreympls)
JD Vance,Right-Leaning,-323,63220,-2552278,3,21073,433000,433000,[TikTok](https://www.tiktok.com/@jd)
The Minnesota Star Tribune,Neutral,118,61385,33854,19,3231,628229,628229,[TikTok](https://www.tiktok.com/@startribune)
Fox 5 Atlanta,Neutral,489,60986,60870,5,12197,753190,753190,[TikTok](https://www.tiktok.com/@fox5_atlanta)
Mary L Trump,Left-Leaning,-122,60094,-121034,36,1669,364050,364050,[TikTok](https://www.tiktok.com/@mltrump)
Michael Solakiewicz,Right-Leaning,-14,59928,-26364,63,951,1922187,1922187,[TikTok](https://www.tiktok.com/@michaelsolakiewicz)
Dave Bondy,Right-Leaning,19,59547,-2792,21,2836,1129774,1129774,[TikTok](https://www.tiktok.com/@davebondy)
Hasan Piker,Left-Leaning,-264,59361,-825793,3,19787,428305,428305,[TikTok](https://www.tiktok.com/@hasandpiker)
RaeShanda Lias,Left-Leaning,-74,59344,-63280,4,14836,210100,210100,[TikTok](https://www.tiktok.com/@shopaif)
No Nonsense Spirituality,Left-Leaning,189,59233,46543,3,19744,294900,294900,[TikTok](https://www.tiktok.com/@nononsensespirituality)
FUBAR Pac,Left-Leaning,38,58504,5839,1,58504,535570,535570,[TikTok](https://www.tiktok.com/@fubarpac)
Matt Gordon,Left-Leaning,-112,57881,-95140,8,7235,188389,188389,[TikTok](https://www.tiktok.com/@usmcangryveteran)
Johnpaulkingusa,Right-Leaning,-13,57734,-23636,19,3039,627117,627117,[TikTok](https://www.tiktok.com/@johnpaulkingusa)
Kalamazoo Gazette (MLive),Neutral,9,57684,-7029,6,9614,593002,593002,[TikTok](https://www.tiktok.com/@mlivenews)
Van Nguyen,Right-Leaning,26,57598,907,28,2057,223212,223212,[TikTok](https://www.tiktok.com/@iamvantnguyen)
Fox Nation,Right-Leaning,225,57581,49149,49,1175,1511003,1511003,[TikTok](https://www.tiktok.com/@foxnation)
The JAAM,Left-Leaning,83,56657,21947,4,14164,265900,265900,[TikTok](https://www.tiktok.com/@jwilliamj)
Michael Liner,Neutral,42,56489,8307,33,1712,1280108,1280108,[TikTok](https://tiktok.com/@backwardshatbarrister)
Sunrise Movement,Left-Leaning,68,56244,17629,24,2344,523851,523851,[TikTok](https://tiktok.com/@sunrisemvmt)
Graham Platner,Left-Leaning,-231,55958,-458587,62,903,605575,605575,[TikTok](https://www.tiktok.com/@grahamformaine)
Clout News,Right-Leaning,-167,55811,-220301,51,1094,1664517,1664517,[TikTok](https://www.tiktok.com/@cloutnews)
Sheldon Whitehouse,Left-Leaning,-113,55480,-93043,9,6164,398384,398384,[TikTok](https://www.tiktok.com/@senwhitehouse)
CTV Your Morning,Neutral,429,55130,54747,4,13783,962855,962855,[TikTok](https://www.tiktok.com/@yourmorningctv)
That Union Laborer - Chelsea,Left-Leaning,155,54246,39222,30,1808,448919,448919,[TikTok](https://www.tiktok.com/@thatunionlaborer)
March For Our Lives,Left-Leaning,,53801,,6,8967,435540,435540,[TikTok](https://tiktok.com/@amarch4ourlives)
Rob Schneider,Right-Leaning,19,52330,-3652,5,10466,368020,368020,[TikTok](https://www.tiktok.com/@robrichmeister)
Attorney Ryan,Left-Leaning,-5,52169,-12669,21,2484,372074,372074,[TikTok](https://tiktok.com/@attorneyryan)
Ben Meiselas,Left-Leaning,353,51995,50523,6,8666,291156,291156,[TikTok](https://www.tiktok.com/@benmeiselas)
Christopher Deluzio,Left-Leaning,,51759,,1,51759,212710,212710,[TikTok](https://www.tiktok.com/@chrisforpa)
