entity,political_lean,rank_change,total_engagements,engagements_change,posts,avg_engagements,total_views,Non_Twitter_Views,platforms
The Atlantic,Neutral,-19,60604,-16499,74,819,1161337,1161337,[TikTok](https://www.tiktok.com/@theatlantic)
kateao4,Left-Leaning,,60310,,18,3351,387397,387397,[TikTok](https://www.tiktok.com/@kateao4)
Whitney Roberts,Left-Leaning,-50,59743,-43380,45,1328,232623,232623,[TikTok](https://www.tiktok.com/@thewokemama)
Elizabeth Warren,Left-Leaning,-96,59695,-78000,5,11939,702450,702450,[TikTok](https://www.tiktok.com/@elizabethwarren)
AL.com,Neutral,364,59281,57603,4,14820,749871,749871,[TikTok](https://www.tiktok.com/@al.comnews)
The Huntsville Times / AL.com,Neutral,364,59281,57603,4,14820,749871,749871,[TikTok](https://www.tiktok.com/@al.comnews)
Damon Imani,Right-Leaning,172,59210,44610,6,9868,537280,537280,[TikTok](https://www.tiktok.com/@damonimani)
Next Up with Mark Halperin,Right-Leaning,,59093,,1,59093,964614,964614,[TikTok](https://www.tiktok.com/@nextuphalperin)
Selina Wang,Neutral,185,58642,46642,33,1777,1158785,1158785,[TikTok](https://www.tiktok.com/@selinawangtv)
Greg Casar,Left-Leaning,153,57862,41446,15,3857,367659,367659,[TikTok](https://www.tiktok.com/@repcasar)
Stand Up America,Left-Leaning,238,57549,50391,29,1984,386940,386940,[TikTok](https://tiktok.com/@standup.america)
ecofran,Left-Leaning,-93,57400,-72393,14,4100,400435,400435,[TikTok](https://tiktok.com/@ecofran)
Kamala Harris,Left-Leaning,-331,56885,-1278418,2,28443,856463,856463,[TikTok](https://www.tiktok.com/@kamalaharris)
Garrison Hayes,Left-Leaning,105,56667,31650,2,28334,299525,299525,[TikTok](https://www.tiktok.com/@garrisonhayes)
Cheyenne Hunt,Left-Leaning,16,56565,3113,15,3771,409379,409379,[TikTok](https://www.tiktok.com/@cheyennehuntca)
NewsChannel 5 / WTVF (Nashville CBS),Neutral,118,56483,34377,9,6276,909511,909511,[TikTok](https://www.tiktok.com/@nc5nashville)
The Kansas City Star,Neutral,-8,56396,-6192,39,1446,815380,815380,[TikTok](https://www.tiktok.com/@thekansascitystar)
Graham Platner,Left-Leaning,50,55572,14982,44,1263,450637,450637,[TikTok](https://www.tiktok.com/@grahamformaine)
The Good Liars,Left-Leaning,166,54896,41180,2,27448,406215,406215,[TikTok](https://tiktok.com/@thegoodliars)
Magnolia Voices,Left-Leaning,,54199,,37,1465,449401,449401,[TikTok](https://www.tiktok.com/@magnolia.voices)
Zak Kimball,Left-Leaning,-83,54011,-60998,8,6751,309888,309888,[TikTok](https://www.tiktok.com/@zak.kimball)
"THV11 (KTHV, CBS)",Neutral,115,53640,32153,41,1308,1182366,1182366,[TikTok](https://www.tiktok.com/@thv_11)
Michael Liner,Neutral,-18,53583,-11710,45,1191,1001359,1001359,[TikTok](https://tiktok.com/@backwardshatbarrister)
FOX 35 Orlando,Neutral,-77,53040,-55187,1,53040,561800,561800,[TikTok](https://www.tiktok.com/@fox35newsorlando)
The Fifth Column,Neutral,,52413,,1,52413,1200000,1200000,[TikTok](https://www.tiktok.com/@wethefifth)
Tiffany Fanae Butler,Right-Leaning,41,52174,11345,20,2609,190643,190643,[TikTok](https://www.tiktok.com/@thatsme_tiffany)
Jess Piper,Left-Leaning,23,52071,5272,40,1302,234198,234198,[TikTok](https://tiktok.com/@jesspipermo)
Bill Maher,Neutral,142,51969,36492,6,8662,1288810,1288810,[TikTok](https://www.tiktok.com/@billmaher)
Kenny Walden - 2rawtooreal,Left-Leaning,-27,51954,-17895,17,3056,213559,213559,[TikTok](https://www.tiktok.com/@2rawtooreal2)
Matt Walsh,Right-Leaning,-56,51947,-33173,34,1528,646219,646219,[TikTok](https://www.tiktok.com/@mattwalsh_)
Bella Vandala,Left-Leaning,,51938,,22,2361,247906,247906,[TikTok](https://www.tiktok.com/@bella_vandala)
Heartland Signal,Left-Leaning,244,51607,46327,41,1259,327342,327342,[TikTok](https://www.tiktok.com/@heartlandsignal)
Atlanta News First,Neutral,14,51594,3390,31,1664,641580,641580,[TikTok](https://www.tiktok.com/@atlantanewsfirst)
CBS News Bay Area,Neutral,47,51009,15158,41,1244,1441755,1441755,[TikTok](https://www.tiktok.com/@kpixtv)
RaeShanda Lias,Left-Leaning,80,50783,24313,3,16928,193000,193000,[TikTok](https://www.tiktok.com/@shopaif)
ADIV,Left-Leaning,-265,50621,-466153,5,10124,312872,312872,[TikTok](https://www.tiktok.com/@adivunsolicited)
United Nations,Neutral,228,48855,43194,9,5428,1171981,1171981,[TikTok](https://www.tiktok.com/@unitednations)
John Fredericks,Right-Leaning,-50,48720,-23567,26,1874,445490,445490,[TikTok](https://www.tiktok.com/@jfradioshow)
Maxwell Frost,Left-Leaning,-140,48371,-104964,10,4837,208975,208975,"[TikTok](https://www.tiktok.com/@repmaxwellfrost), [TikTok](https://tiktok.com/@repmaxwellfrost)"
Ayanna Pressley,Left-Leaning,-208,48353,-221220,11,4396,181121,181121,[TikTok](https://www.tiktok.com/@reppressley)
The Babylon Bee,Right-Leaning,433,48208,47794,2,24104,489770,489770,[TikTok](https://tiktok.com/@babylonbee)
The Comments Section,Right-Leaning,-86,47856,-53197,19,2519,343838,343838,[TikTok](https://www.tiktok.com/@thecommentssection)
Matt Buechele,Left-Leaning,,47620,,3,15873,283590,283590,[TikTok](https://www.tiktok.com/@mattbooshell)
Kate Glavan,Left-Leaning,-146,47518,-107038,66,720,449499,449499,[TikTok](https://www.tiktok.com/@kateglavan)
Tom Morris - Stay at Home Tom,Left-Leaning,286,46864,44164,1,46864,303652,303652,[TikTok](https://www.tiktok.com/@stay.at.home.tomm)
Katherine Clark,Left-Leaning,215,46722,40588,14,3337,596426,596426,[TikTok](https://www.tiktok.com/@katherineclark)
Vice News,Left-Leaning,241,46329,41843,16,2896,645753,645753,[TikTok](https://tiktok.com/@vicenews)
LEX 18 / WLEX (Lexington NBC),Neutral,14,46129,4501,12,3844,677407,677407,[TikTok](https://www.tiktok.com/@lex18news)
Fortune Magazine,Neutral,20,46098,5996,35,1317,1005068,1005068,[TikTok](https://www.tiktok.com/@fortune)
Sam Schmir,Left-Leaning,418,46035,45596,2,23018,1398860,1398860,[TikTok](https://www.tiktok.com/@meatball)
NEWSGIRLS,Left-Leaning,145,44927,33261,64,702,522003,522003,[TikTok](https://www.tiktok.com/@newsgirls.reports)
Jake Tapper,Neutral,-31,44894,-10723,18,2494,953091,953091,[TikTok](https://www.tiktok.com/@jaketapper)
Scott Galloway,Neutral,13,44632,3782,32,1395,873763,873763,[TikTok](https://www.tiktok.com/@profgalloway)
Moon Media,Neutral,160,44370,34157,42,1056,612736,612736,[TikTok](https://www.tiktok.com/@moonmedia.pro)
The News Movement,Neutral,-283,44261,-461318,43,1029,1233850,1233850,[TikTok](https://www.tiktok.com/@thenewsmovement)
Jessica Valenti,Left-Leaning,-56,44219,-26289,12,3685,170615,170615,[TikTok](https://www.tiktok.com/@auntiekilljoy)
Rachel Cohen,Left-Leaning,-79,43569,-37791,13,3351,181824,181824,[TikTok](https://www.tiktok.com/@cohen489)
Michael Solakiewicz,Right-Leaning,33,43110,11883,56,770,1237687,1237687,[TikTok](https://www.tiktok.com/@michaelsolakiewicz)
Overly Diverse,Left-Leaning,483,42486,42406,10,4249,158054,158054,[TikTok](https://www.tiktok.com/@overlydiverse)
