entity,political_lean,rank_change,total_engagements,engagements_change,posts,avg_engagements,total_views,Non_Twitter_Views,platforms
Danielle Ann,Left-Leaning,12,800409,70463,113,7083,3490809,3490809,[TikTok](https://tiktok.com/@chasingoz)
The Independent,Neutral,45,781696,313760,106,7374,18814997,18814997,[TikTok](https://www.tiktok.com/@independent)
Judge Jeanine Pirro,Right-Leaning,85,752148,524878,22,34189,4327310,4327310,[TikTok](https://www.tiktok.com/@jeanine.pirro2)
The Comments Section,Right-Leaning,-6,747379,-221216,26,28745,4610048,4610048,[TikTok](https://www.tiktok.com/@thecommentssection)
Jamelle Bouie,Left-Leaning,33,700167,193346,62,11293,4467282,4467282,[TikTok](https://tiktok.com/@jamellebouie)
News Doode,Left-Leaning,-11,668200,-339992,36,18561,4848513,4848513,[TikTok](https://www.tiktok.com/@my_doode)
Genz Perspective Pod,Left-Leaning,126,667649,555630,27,24728,4314286,4314286,[TikTok](https://www.tiktok.com/@genzperspectivepod)
Candace Owens,Right-Leaning,-41,664926,-1007158,4,166232,6229032,6229032,[TikTok](https://www.tiktok.com/@candaceoshow)
WFF News,Right-Leaning,-44,657750,-1075207,26,25298,6356969,6356969,[TikTok](https://tiktok.com/@wffnews)
Josh Helfgott,Left-Leaning,-68,652189,-3510642,20,32609,6059568,6059568,[TikTok](https://tiktok.com/@joshhelfgott)
Chris Mowrey,Left-Leaning,14,645102,-5026,41,15734,4273265,4273265,[TikTok](https://www.tiktok.com/@chrisdmowrey)
Ben Shapiro,Right-Leaning,11,623901,-31022,27,23107,6549021,6549021,[TikTok](https://www.tiktok.com/@real.benshapiro)
Marcus DiPaola,Neutral,53,615268,301645,41,15007,5082074,5082074,[TikTok](https://tiktok.com/@marcus.dipaola)
Just Wayne,Left-Leaning,89,577623,398567,84,6876,3034546,3034546,[TikTok](https://www.tiktok.com/@justwaynecreative)
Christian Maldonado,Left-Leaning,-29,573325,-606932,4,143331,4801848,4801848,[TikTok](https://tiktok.com/@christianjmaldonado)
Andre White,Left-Leaning,56,568587,271269,28,20307,5447060,5447060,[TikTok](https://tiktok.com/@blackkout___)
The Tennessee Holler,Left-Leaning,40,560210,211995,224,2501,5507311,5507311,[TikTok](https://www.tiktok.com/@thetnholler)
UKUSpolitics,Left-Leaning,189,536470,503638,41,13085,3427843,3427843,[TikTok](https://tiktok.com/@ukuspolitics)
CBS Mornings,Neutral,16,535715,13687,13,41209,14781504,14781504,[TikTok](https://tiktok.com/@cbsmornings)
PBS News Hour,Neutral,56,522022,249840,20,26101,9211548,9211548,[TikTok](https://tiktok.com/@pbsnews)
BloxCast,Neutral,25,521419,44376,57,9148,3397731,3397731,[TikTok](https://www.tiktok.com/@bloxcast_)
Crooked Media,Left-Leaning,17,488490,-17097,99,4934,8323728,8323728,[TikTok](https://tiktok.com/@crookedmedia)
Whitney Roberts,Left-Leaning,101,487872,359249,47,10380,1681608,1681608,[TikTok](https://www.tiktok.com/@thewokemama)
Distill Social,Left-Leaning,0,483611,-167773,36,13434,2942903,2942903,[TikTok](https://www.tiktok.com/@distillsocial)
Ohhh That’s Rich,Left-Leaning,93,479859,333484,5,95972,3494741,3494741,[TikTok](https://www.tiktok.com/@ohhthatsrich)
The Guardian,Neutral,72,470410,281135,36,13067,3622555,3622555,[TikTok](https://www.tiktok.com/@guardian)
Piers Morgan Uncensored,Right-Leaning,-69,464241,-1444369,19,24434,6562353,6562353,[TikTok](https://www.tiktok.com/@piersmorganuncensored)
David Gokhshtein,Right-Leaning,-67,441760,-1384086,11,40160,3675089,3675089,[TikTok](https://www.tiktok.com/@davidgokhshtein)
Democratic Governors Association (DGA),Left-Leaning,-67,441313,-1370072,13,33947,2514726,2514726,[TikTok](https://tiktok.com/@demgovs)
Dave Bondy,Right-Leaning,117,412730,321290,60,6879,3408865,3408865,[TikTok](https://www.tiktok.com/@davebondy)
David Boomer,Left-Leaning,31,404427,65098,69,5861,1582984,1582984,[TikTok](https://tiktok.com/@empathytour)
Chris Glover - Generic Art Dad,Left-Leaning,21,400925,17197,23,17432,2969157,2969157,[TikTok](https://tiktok.com/@genericartdad)
Forbes,Neutral,40,388570,111702,57,6817,3313016,3313016,[TikTok](https://www.tiktok.com/@forbes)
Riley Gaines Barker,Right-Leaning,-13,381308,-274482,10,38131,2381045,2381045,[TikTok](https://www.tiktok.com/@rileygaines)
Brandon Tatum,Right-Leaning,-1,379424,-166805,24,15809,3410232,3410232,[TikTok](https://tiktok.com/@theofficertatum)
Alexis Rose Hinkley - Traveling Nurse,Left-Leaning,22,374719,28857,65,5765,1790184,1790184,[TikTok](https://www.tiktok.com/@travelingnurse)
Adam Calhoun (ACAL),Right-Leaning,137,361323,296931,6,60221,2009139,2009139,[TikTok](https://tiktok.com/@adamcalhoun1)
Gavin Newsom,Left-Leaning,128,353093,279843,16,22068,2223720,2223720,"[TikTok](https://www.tiktok.com/@cagovernor), [TikTok](https://www.tiktok.com/@gavinnewsom)"
Gretchen Whitmer,Left-Leaning,202,351460,331418,13,27035,1859056,1859056,[TikTok](https://www.tiktok.com/@biggretchwhitmer)
Robert Reich,Left-Leaning,-28,351275,-384432,22,15967,1818985,1818985,[TikTok](https://tiktok.com/@rbreich)
Terrence K. Williams,Right-Leaning,-8,346893,-203265,23,15082,2002049,2002049,[TikTok](https://www.tiktok.com/@terrencekwilliams)
Meghan Elinor,Right-Leaning,-33,343897,-402423,82,4194,2411934,2411934,[TikTok](https://www.tiktok.com/@meghanelinor)
News Nation,Neutral,-54,336821,-759051,8,42103,6951851,6951851,[TikTok](https://www.tiktok.com/@newsnationnow)
More Perfect Union,Left-Leaning,-43,335424,-574435,38,8827,3920256,3920256,[TikTok](https://tiktok.com/@moreperfectunion)
Jessica Valenti,Left-Leaning,14,333419,-12349,20,16671,1444694,1444694,[TikTok](https://www.tiktok.com/@auntiekilljoy)
60 Minutes,Neutral,-95,330596,-2537910,9,36733,5409178,5409178,[TikTok](https://tiktok.com/@60minutes)
Cam Higby,Right-Leaning,184,323509,300314,43,7523,2438258,2438258,[TikTok](https://tiktok.com/@thecamhigby)
Pete Buttigieg,Left-Leaning,49,321137,127171,5,64227,2196834,2196834,[TikTok](https://www.tiktok.com/@petebuttigieg)
Luke David Johnson,Neutral,1,315959,-130621,22,14362,3032666,3032666,[TikTok](https://tiktok.com/@lukedavidjohnson)
Alicia Luncheon,Left-Leaning,6,315172,-37521,20,15759,1744838,1744838,[TikTok](https://tiktok.com/@theluncheonlawyer)
Middle East Eye,Neutral,171,311313,285204,1,311313,2963951,2963951,[TikTok](https://www.tiktok.com/@middleeasteye)
Brian Baez,Left-Leaning,37,307517,80489,13,23655,1805288,1805288,[TikTok](https://www.tiktok.com/@mentallydivine)
Angel Barragan,Left-Leaning,-13,307403,-186034,41,7498,2734596,2734596,[TikTok](https://tiktok.com/@senor_barragan)
Jess Craven,Left-Leaning,-48,304922,-547418,21,14520,1232591,1232591,[TikTok](https://tiktok.com/@jesscraven101)
Jess Piper,Left-Leaning,-18,303314,-212200,47,6453,1286559,1286559,[TikTok](https://tiktok.com/@jesspipermo)
Kenny Walden - 2rawtooreal,Left-Leaning,-4,300945,-113579,29,10377,922828,922828,[TikTok](https://www.tiktok.com/@2rawtooreal2)
Conscious Lee - George Lee Jr,Left-Leaning,-30,296089,-327726,60,4935,1920765,1920765,[TikTok](https://tiktok.com/@theconsciouslee)
Ariana Jasmine Afshar,Left-Leaning,-79,286437,-1049822,66,4340,2872854,2872854,[TikTok](https://tiktok.com/@arianajasmine___)
Ayanna Pressley,Left-Leaning,,274739,,2,137370,1051234,1051234,[TikTok](https://www.tiktok.com/@reppressley)
Pink News,Left-Leaning,194,273720,255606,3,91240,2573760,2573760,[TikTok](https://tiktok.com/@pinknews)
Gen-Z for Change,Left-Leaning,31,270591,50117,23,11765,1073928,1073928,[TikTok](https://tiktok.com/@genzforchange)
Trish Regan,Right-Leaning,105,270200,200191,1,270200,2328438,2328438,[TikTok](https://www.tiktok.com/@trishregan)
James Talarico,Left-Leaning,-63,263657,-669236,3,87886,1766687,1766687,[TikTok](https://www.tiktok.com/@jamestalarico)
LiveNOW from FOX,Right-Leaning,-134,255971,-7710458,6,42662,4745472,4745472,[TikTok](https://tiktok.com/@livenowfox)
Ding News,Right-Leaning,-82,249909,-982078,20,12495,2242086,2242086,[TikTok](https://www.tiktok.com/@dingnewscorp)
Isabel Brown,Right-Leaning,-51,246629,-455715,23,10723,1662066,1662066,[TikTok](https://tiktok.com/@theisabelbrown)
CBS Evening News,Neutral,-3,243083,-78099,9,27009,8622911,8622911,[TikTok](https://tiktok.com/@cbseveningnews)
Dream for America,Left-Leaning,126,238155,195304,111,2146,1882904,1882904,[TikTok](https://www.tiktok.com/@dreamforamerica)
Topher,Right-Leaning,-18,227913,-204614,13,17532,2773774,2773774,[TikTok](https://www.tiktok.com/@tophertownmusic)
ACLU,Left-Leaning,285,227003,225445,35,6486,1542569,1542569,[TikTok](https://www.tiktok.com/@aclu)
Last Week Tonight with John Oliver,Left-Leaning,35,222876,54713,17,13110,1720150,1720150,[TikTok](https://tiktok.com/@lastweektonighthbo)
Sam Wiles,Left-Leaning,6,217460,-45863,16,13591,821960,821960,[TikTok](https://www.tiktok.com/@votesamwiles)
Nigel Farage,Right-Leaning,,215733,,3,71911,1679008,1679008,[TikTok](https://www.tiktok.com/@nigel_farage)
Victor Nieves,Right-Leaning,-64,209054,-535519,34,6149,1374634,1374634,[TikTok](https://www.tiktok.com/@notvictornieves)
Craig Long,Right-Leaning,106,205706,148300,27,7619,1808105,1808105,[TikTok](https://tiktok.com/@craiglong45)
Working Families Party,Left-Leaning,79,203962,120109,21,9712,1269743,1269743,[TikTok](https://tiktok.com/@workingfamiliesparty)
Yeganeh Mafaher,Left-Leaning,-46,203901,-372358,46,4433,969265,969265,[TikTok](https://www.tiktok.com/@littleyeg)
NBC10 Boston,Neutral,-118,203210,-1649413,2,101605,2923278,2923278,[TikTok](https://www.tiktok.com/@nbc10boston)
Hal for NY,Left-Leaning,-107,196228,-1244421,8,24529,1701878,1701878,[TikTok](https://www.tiktok.com/@hal_for_ny__)
Johnny Harris,Left-Leaning,74,194482,110528,7,27783,1728561,1728561,[TikTok](https://www.tiktok.com/@johnny.harris)
Zak Kimball,Left-Leaning,-13,192519,-115721,3,64173,2299751,2299751,[TikTok](https://www.tiktok.com/@zak.kimball)
Sofia Ongele,Left-Leaning,33,191178,41573,15,12745,562097,562097,[TikTok](https://tiktok.com/@sewpheeyuh)
Truth Seeking Blondie,Right-Leaning,245,183329,179154,35,5238,1023485,1023485,[TikTok](https://tiktok.com/@truthseekingblondie)
Russell Brand,Right-Leaning,-4,179675,-75230,22,8167,1685711,1685711,[TikTok](https://www.tiktok.com/@russellbrand)
D.A.R.Y.L.2.0,Left-Leaning,104,166277,117808,123,1352,1746889,1746889,[TikTok](https://tiktok.com/@d.a.r.y.l.2.0)
Dellara,Left-Leaning,179,163696,148548,15,10913,1299253,1299253,[TikTok](https://tiktok.com/@dellara)
Lisandra Vazquez,Left-Leaning,,163476,,6,27246,916780,916780,[TikTok](https://tiktok.com/@lisandravcomedy)
The National Desk,Right-Leaning,16,163331,-11881,123,1328,2512729,2512729,[TikTok](https://www.tiktok.com/@tndtok)
Lawful Expat,Right-Leaning,-7,161734,-91594,90,1797,1806452,1806452,[TikTok](https://www.tiktok.com/@lawfulexpat)
James Ray,Left-Leaning,-16,161627,-114110,26,6216,621245,621245,[TikTok](https://tiktok.com/@jamesgetspolitical)
James Ray (jamesgetpolitical),Left-Leaning,-16,161627,-114110,26,6216,621245,621245,[TikTok](https://www.tiktok.com/@jamesgetspolitical)
