entity,political_lean,rank_change,total_engagements,engagements_change,posts,avg_engagements,total_views,Non_Twitter_Views,platforms
Rob Sand,Left-Leaning,356,296911,282692,30,9897,2441359,2441359,[TikTok](https://www.tiktok.com/@robsandiowa)
Pastor Paul Drees,Left-Leaning,-48,291123,-143220,15,19408,1490160,1490160,[TikTok](https://www.tiktok.com/@pastorpauldrees)
Builder's Movement,Neutral,47,286235,98686,74,3868,3272831,3272831,[TikTok](https://www.tiktok.com/@buildersmvt)
Gerlyn Henry,Left-Leaning,232,283877,246089,22,12904,1739367,1739367,[TikTok](https://www.tiktok.com/@rev.gerlynhenry)
Silent Middle Child,Left-Leaning,-108,282188,-475643,11,25653,1622959,1622959,[TikTok](https://www.tiktok.com/@silentmiddlechild/video)
Nico (Stocking the Capitol),Left-Leaning,40,279403,86199,32,8731,1836179,1836179,[TikTok](https://www.tiktok.com/@stocking_the_capitol)
Qasim Rashid,Left-Leaning,67,277123,120289,30,9237,1837852,1837852,[TikTok](https://tiktok.com/@qasim.rashid)
Congress Watch Daily,Left-Leaning,-146,276684,-891780,47,5887,1948137,1948137,[TikTok](https://www.tiktok.com/@congresswatchdaily)
Clay (What in Claynation),Left-Leaning,-36,270962,-71586,174,1557,4168375,4168375,[TikTok](https://www.tiktok.com/@whatinclaynation)
slaythegop,Left-Leaning,80,270382,123241,19,14231,2642176,2642176,[TikTok](https://www.tiktok.com/@slaythegop)
Andre White,Left-Leaning,-99,269455,-421930,14,19247,1097061,1097061,[TikTok](https://tiktok.com/@blackkout___)
Head in the Office,Left-Leaning,28,267558,69596,24,11148,1676749,1676749,[TikTok](https://www.tiktok.com/@headintheoffice)
PoliticsJOE,Left-Leaning,193,265091,218532,22,12050,3096132,3096132,[TikTok](https://tiktok.com/@politicsjoe)
Isabel Brown,Right-Leaning,13,260429,43361,42,6201,1664330,1664330,[TikTok](https://tiktok.com/@theisabelbrown)
Tawni (vintagetawni1),Left-Leaning,32,260396,69778,34,7659,2468406,2468406,[TikTok](https://www.tiktok.com/@vintagetawni1)
Econ with Sarah,Left-Leaning,82,259517,125540,11,23592,2274058,2274058,[TikTok](https://www.tiktok.com/@econwithsarah)
Tom Morris - Stay at Home Tom,Left-Leaning,521,257969,255633,35,7371,2110676,2110676,[TikTok](https://www.tiktok.com/@stay.at.home.tomm)
The Wall Street Journal,Neutral,-129,256346,-563987,40,6409,4652254,4652254,[TikTok](https://www.tiktok.com/@wallstreetjournal)
The Guardian,Neutral,-85,254619,-291087,98,2598,8075085,8075085,[TikTok](https://www.tiktok.com/@guardian)
Face the Nation,Neutral,-54,250457,-139777,133,1883,6918187,6918187,[TikTok](https://tiktok.com/@facethenation)
Malynda Hale,Left-Leaning,310,250125,232527,25,10005,1099253,1099253,[TikTok](https://www.tiktok.com/@malyndahaleofficial)
Democracy Now!,Left-Leaning,281,248341,225181,50,4967,1529894,1529894,[TikTok](https://www.tiktok.com/@democracynow.org)
I've Had It Podcast,Left-Leaning,-185,247720,-1301634,24,10322,2184719,2184719,[TikTok](https://www.tiktok.com/@ivehaditpodcast)
Yahoo Finance,Neutral,-92,247375,-308066,123,2011,6592872,6592872,[TikTok](https://tiktok.com/@yahoofinance)
CBS News Bay Area,Neutral,149,245515,185136,74,3318,4153045,4153045,[TikTok](https://www.tiktok.com/@kpixtv)
Live Action,Right-Leaning,-55,241516,-113645,82,2945,3255219,3255219,[TikTok](https://www.tiktok.com/@liveactionorg)
Mario J Pentn,Right-Leaning,67,240092,102411,175,1372,3498337,3498337,[TikTok](https://www.tiktok.com/@mariojpenton)
Reuben Woodall,Left-Leaning,38,239040,72342,12,19920,1528613,1528613,[TikTok](https://tiktok.com/@reubenwoodall)
Adam Conover,Left-Leaning,305,234073,216978,11,21279,1248901,1248901,[TikTok](https://www.tiktok.com/@adamconover)
Tessa 420,Left-Leaning,,232612,,5,46522,1477743,1477743,[TikTok](https://www.tiktok.com/@tessa420_)
Michael Foote,Left-Leaning,-35,227036,-74880,32,7095,985552,985552,[TikTok](https://www.tiktok.com/@michael_foote_)
Maria Comstock,Left-Leaning,-6,225091,-5165,10,22509,1496337,1496337,"[TikTok](https://www.tiktok.com/@possiblymaria), [TikTok](https://www.tiktok.com/@mariaisabellecomstock)"
HBCU Hotline,Left-Leaning,388,224463,215983,37,6067,1177085,1177085,[TikTok](https://www.tiktok.com/@hbcuhotline_)
rationalboomer,Left-Leaning,-41,221657,-87788,180,1231,1593019,1593019,[TikTok](https://www.tiktok.com/@rationalboomer)
Chicks On The Right,Right-Leaning,234,220648,191022,60,3677,2620506,2620506,[TikTok](https://tiktok.com/@chicksonright)
