entity,political_lean,rank_change,total_engagements,engagements_change,posts,avg_engagements,total_views,Non_Twitter_Views,platforms
Jack Schlossberg,Left-Leaning,-118,37535,-79041,4,9384,555011,555011,[TikTok](https://www.tiktok.com/@jack.schlossberg)
Saikat Chakrabarti,Left-Leaning,47,37527,10636,22,1706,247529,247529,[TikTok](https://www.tiktok.com/@saikatforcongress)
Democracy Now!,Left-Leaning,-331,37108,-867823,48,773,398690,398690,[TikTok](https://www.tiktok.com/@democracynow.org)
Andrxw (andrewtoworld),Left-Leaning,-111,37062,-72775,15,2471,272900,272900,[TikTok](https://www.tiktok.com/@andrewtoworld)
JB Pritzker,Left-Leaning,-254,36943,-361928,19,1944,374020,374020,[TikTok](https://tiktok.com/@teamjb_hq)
AmericaFirst617,Right-Leaning,,36755,,5,7351,2870223,2870223,[TikTok](https://www.tiktok.com/@americafirst617)
Trae Crowder,Left-Leaning,-157,36666,-114542,6,6111,172131,172131,[TikTok](https://tiktok.com/@traecrowder)
The Nevadan,Left-Leaning,212,35566,31233,13,2736,174043,174043,[TikTok](https://www.tiktok.com/@nevadannews)
Sherrod Brown,Left-Leaning,35,35269,7781,27,1306,366871,366871,[TikTok](https://www.tiktok.com/@sherrodbrown)
Kat Blaque,Left-Leaning,24,34487,4207,42,821,292435,292435,[TikTok](https://www.tiktok.com/@katblaque)
The Find Out Podcast,Left-Leaning,316,33997,33043,47,723,373668,373668,[TikTok](https://www.tiktok.com/@findoutpodcast)
The JAAM,Left-Leaning,,33932,,3,11311,201634,201634,[TikTok](https://www.tiktok.com/@jwilliamj)
Full Send Podcast,Right-Leaning,-118,33872,-74508,14,2419,802898,802898,[TikTok](https://www.tiktok.com/@fullsendpodcast)
The Five,Right-Leaning,-50,33539,-22656,43,780,354618,354618,[TikTok](https://www.tiktok.com/@thefive)
Alex Fasulo,Right-Leaning,22,33519,4312,12,2793,191054,191054,[TikTok](https://www.tiktok.com/@alexfasulobiz)
Damani Bryant Felder,Right-Leaning,-141,33474,-91443,12,2790,195381,195381,[TikTok](https://www.tiktok.com/@thedamanifelder)
