entity,political_lean,rank_change,total_engagements,engagements_change,posts,avg_engagements,total_views,Non_Twitter_Views,platforms
Hal for NY,Left-Leaning,2,1084858,20907,99,10958,18479505,18479505,[TikTok](https://www.tiktok.com/@hal_for_ny__)
The News Movement,Neutral,364,1057512,1013251,178,5941,18566746,18566746,[TikTok](https://www.tiktok.com/@thenewsmovement)
Koch Head,Left-Leaning,129,1045636,784693,72,14523,8498638,8498638,[TikTok](https://tiktok.com/@kochead)
Dr. Zachary Rubin,Neutral,23,1042825,288403,63,16553,9769887,9769887,[TikTok](https://www.tiktok.com/@rubin_allergy)
CTV Your Morning,Neutral,34,1034970,376665,102,10147,17099072,17099072,[TikTok](https://www.tiktok.com/@yourmorningctv)
Hawk Podcast,Left-Leaning,-21,1013488,-332765,207,4896,6945649,6945649,[TikTok](https://tiktok.com/@mdg650hawk7thacct)
Wired,Neutral,117,983700,699667,62,15866,7123148,7123148,[TikTok](https://www.tiktok.com/@wired)
Dannie D,Left-Leaning,5,977784,89709,159,6150,6894479,6894479,[TikTok](https://tiktok.com/@dannied01)
Total Hypocrisy,Left-Leaning,-42,976456,-846400,197,4957,7177011,7177011,[TikTok](https://www.tiktok.com/@totalhypocrisy)
Zeteo,Left-Leaning,81,972849,602012,158,6157,7579724,7579724,[TikTok](https://www.tiktok.com/@zeteonews)
ADIV,Left-Leaning,336,965664,915043,44,21947,4394914,4394914,[TikTok](https://www.tiktok.com/@adivunsolicited)
King 5 Seattle,Neutral,42,960440,425486,784,1225,15946125,15946125,[TikTok](https://www.tiktok.com/@king5news)
Turning Point USA,Right-Leaning,-23,958479,-298080,42,22821,9445349,9445349,[TikTok](https://www.tiktok.com/@turningpointusaofficial)
NBC Washington,Neutral,-42,957448,-675781,190,5039,18752333,18752333,[TikTok](https://www.tiktok.com/@nbcwashington)
Ro Khanna,Left-Leaning,186,928078,771802,27,34373,4973635,4973635,"[TikTok](https://www.tiktok.com/@reprokhanna), [TikTok](https://tiktok.com/@rokhannausa)"
SimpleBlackTheory,Left-Leaning,123,888513,642814,9,98724,6082288,6082288,[TikTok](https://www.tiktok.com/@simpleblacktheory)
Good Trouble - Sam Rosenholtz,Left-Leaning,-10,887079,-52849,50,17742,5663743,5663743,[TikTok](https://www.tiktok.com/@goodtrouble_)
Dr. Jennifer Lincoln,Left-Leaning,258,829450,746248,10,82945,3935279,3935279,[TikTok](https://www.tiktok.com/@drjenniferlincoln)
Ashley St. Clair,Right-Leaning,,828634,,53,15635,7984099,7984099,[TikTok](https://www.tiktok.com/@ashstc)
Brenna Pérez,Left-Leaning,79,823857,480617,29,28409,5554937,5554937,[TikTok](https://www.tiktok.com/@perezbrenna)
Brad Doggett,Left-Leaning,5,823627,60832,16,51477,4819918,4819918,[TikTok](https://www.tiktok.com/@brad.doggett)
Turning Point Action,Right-Leaning,26,820610,245838,76,10797,7858845,7858845,[TikTok](https://www.tiktok.com/@tpaction_)
The Wall Street Journal,Neutral,-2,820333,17062,49,16741,13841981,13841981,[TikTok](https://www.tiktok.com/@wallstreetjournal)
The National Desk,Right-Leaning,-23,807283,-266441,476,1696,19366088,19366088,[TikTok](https://www.tiktok.com/@tndtok)
KARE 11 Minneapolis,Neutral,100,802373,518792,664,1208,17194179,17194179,[TikTok](https://www.tiktok.com/@kare11news)
John Neely Kennedy,Right-Leaning,,797205,,4,199301,4748036,4748036,[TikTok](https://www.tiktok.com/@senjohnkennedy)
Johnny Palmadessa,Left-Leaning,10,789539,120968,76,10389,7737669,7737669,[TikTok](https://tiktok.com/@johnnypalmadessa)
Trish Regan,Right-Leaning,28,786133,268201,212,3708,10777085,10777085,[TikTok](https://www.tiktok.com/@trishregan)
HuffPost,Left-Leaning,107,767986,517523,38,20210,9472292,9472292,[TikTok](https://www.tiktok.com/@huffpost)
Donald Trump,Right-Leaning,-1,766467,23724,3,255489,18774949,18774949,[TikTok](https://www.tiktok.com/@realdonaldtrump)
Tucker Carlson Network,Right-Leaning,-37,764854,-403432,77,9933,9655289,9655289,[TikTok](https://www.tiktok.com/@tuckercarlsonnetwork)
Andre White,Left-Leaning,-101,764679,-2700215,16,47792,3816030,3816030,[TikTok](https://tiktok.com/@blackkout___)
Silent Middle Child,Left-Leaning,-1,757831,32196,22,34447,4661834,4661834,[TikTok](https://www.tiktok.com/@silentmiddlechild/video)
Thiqydusty,Left-Leaning,-16,752861,-67988,83,9071,3415681,3415681,[TikTok](https://www.tiktok.com/@thiqydusty)
WCCO CBS News Minnesota,Neutral,126,746954,531593,100,7470,15018367,15018367,[TikTok](https://www.tiktok.com/@wcconews)
Braedon Sorbo,Right-Leaning,-40,742130,-393820,58,12795,4557424,4557424,[TikTok](https://www.tiktok.com/@braedensorbo)
Adam Mockler,Left-Leaning,-22,741913,-115749,98,7571,10974983,10974983,[TikTok](https://tiktok.com/@adammockler)
The Krassensteins,Left-Leaning,-14,735871,-57804,142,5182,14514285,14514285,[TikTok](https://www.tiktok.com/@krassenstein)
Dave Jorgenson,Neutral,-25,732585,-134674,20,36629,4746834,4746834,[TikTok](https://www.tiktok.com/@davejorgenson)
Grace Unfiltered,Right-Leaning,-20,731255,-74092,82,8918,5244616,5244616,[TikTok](https://www.tiktok.com/@_thatonefitguy92)
The Tennessee Holler,Left-Leaning,86,723314,442801,334,2166,5817427,5817427,[TikTok](https://www.tiktok.com/@thetnholler)
Jess Craven,Left-Leaning,93,710256,459598,92,7720,4112408,4112408,[TikTok](https://tiktok.com/@jesscraven101)
Doxielvr,Right-Leaning,-15,709823,-43781,134,5297,3470936,3470936,[TikTok](https://www.tiktok.com/@doxielvr)
Amanda Nelson - Amanda's Mild Takes,Left-Leaning,-13,703871,-34089,76,9261,3379265,3379265,[TikTok](https://www.tiktok.com/@amandasmildtakes)
The Haunted Side,Right-Leaning,378,695834,670136,164,4243,17702658,17702658,[TikTok](https://www.tiktok.com/@thehauntedside)
Democratic Governors Association (DGA),Left-Leaning,118,679913,470147,43,15812,3225055,3225055,[TikTok](https://tiktok.com/@demgovs)
AngryMaleVet,Left-Leaning,-49,675427,-453224,164,4118,5361084,5361084,[TikTok](https://www.tiktok.com/@angrymalevet)
Allie O’Brien,Left-Leaning,7,670851,139858,14,47918,2472100,2472100,[TikTok](https://tiktok.com/@allie_202_)
Will Cain,Right-Leaning,57,669438,336693,636,1053,8234811,8234811,[TikTok](https://www.tiktok.com/@willcainshow)
Bloomberg Politics,Neutral,-34,669190,-176962,159,4209,30539319,30539319,[TikTok](https://tiktok.com/@bloombergpolitics)
Lost In The Mix,Left-Leaning,,668212,,44,15187,5143833,5143833,[TikTok](https://www.tiktok.com/@lostinthemixxx)
Hasan Piker,Left-Leaning,-57,652228,-485673,24,27176,4605832,4605832,[TikTok](https://www.tiktok.com/@hasandpiker)
Ohhh That’s Rich,Left-Leaning,36,648177,272997,35,18519,3761772,3761772,[TikTok](https://www.tiktok.com/@ohhthatsrich)
NBC10 Boston,Neutral,-48,645423,-335493,82,7871,7905896,7905896,[TikTok](https://www.tiktok.com/@nbc10boston)
Bernie Sanders,Left-Leaning,63,641310,333733,46,13942,6662251,6662251,"[TikTok](https://www.tiktok.com/@sensanders), [TikTok](https://www.tiktok.com/@bernie)"
Hertraline,Left-Leaning,508,631685,624487,45,14037,5913757,5913757,[TikTok](https://www.tiktok.com/@hertraline)
The Real Cornpop,Left-Leaning,-99,631132,-1522293,106,5954,4741033,4741033,[TikTok](https://www.tiktok.com/@therealcornpop)
HearMeOutOnThis,Left-Leaning,-46,627386,-265703,175,3585,4150304,4150304,[TikTok](https://www.tiktok.com/@realprogressive11)
Melanie Stansbury,Left-Leaning,-21,626990,-34252,73,8589,3650403,3650403,[TikTok](https://tiktok.com/@repstansbury)
Politico Mexico,Neutral,-35,603487,-180322,270,2235,13357633,13357633,[TikTok](https://tiktok.com/@politicomx)
The Economist,Neutral,-64,589170,-542916,33,17854,9852863,9852863,[TikTok](https://www.tiktok.com/@theeconomist)
CortlenFixesEverything,Left-Leaning,-40,572503,-228263,26,22019,2730921,2730921,[TikTok](https://www.tiktok.com/@cortlenfixeseverything)
letsdiscusssomething,Left-Leaning,-28,562350,-133814,28,20084,3000354,3000354,[TikTok](https://www.tiktok.com/@letsdiscusssomething)
NPR,Neutral,-108,561578,-1629927,137,4099,6226201,6226201,[TikTok](https://www.tiktok.com/@npr)
Yahoo Finance,Neutral,-60,556624,-442039,146,3812,14410942,14410942,[TikTok](https://tiktok.com/@yahoofinance)
KDFW FOX 4 (Dallas-Fort Worth Fox),Neutral,-126,553616,-2408047,38,14569,11918856,11918856,[TikTok](https://www.tiktok.com/@fox4newsdallasfortworth)
CFH Unfiltered,Left-Leaning,13,551986,132041,13,42460,5138024,5138024,[TikTok](https://tiktok.com/@cfh.unfiltered)
The Guardian,Neutral,0,545706,77844,85,6420,9931139,9931139,[TikTok](https://www.tiktok.com/@guardian)
TalkUrShxxtNene,Left-Leaning,104,539822,346370,68,7939,3107875,3107875,[TikTok](https://www.tiktok.com/@jusnene)
Morgan,Left-Leaning,40,525657,207116,39,13478,1949774,1949774,[TikTok](https://www.tiktok.com/@morga_tt)
Alex Daily (The Daily Flub),Right-Leaning,19,523105,151490,43,12165,6930081,6930081,[TikTok](https://www.tiktok.com/@thedailyflub)
Devin (uniting now),Left-Leaning,-42,521831,-216981,179,2915,5912201,5912201,[TikTok](https://www.tiktok.com/@unitingnow)
The Arizona Republic,Neutral,81,520786,300077,145,3592,4326454,4326454,[TikTok](https://www.tiktok.com/@azcentral)
The Justice Guy,Left-Leaning,72,511869,277210,64,7998,5070073,5070073,[TikTok](https://www.tiktok.com/@matteo_il_pazzeo)
FOX 13 Tampa Bay,Neutral,125,511450,354902,16,31966,4356194,4356194,[TikTok](https://www.tiktok.com/@fox13tampabay)
Leigh McGowan,Left-Leaning,-15,508765,16787,23,22120,2304926,2304926,[TikTok](https://tiktok.com/@iampoliticsgirl)
Bloomberg Business,Neutral,94,480036,283105,96,5000,8034757,8034757,[TikTok](https://www.tiktok.com/@bloombergbusiness)
Conscious Lee - George Lee Jr,Left-Leaning,5,477004,72321,81,5889,2362506,2362506,[TikTok](https://www.tiktok.com/@theconsciouslee)
Johnpaulkingusa,Right-Leaning,-36,475148,-130263,174,2731,5200697,5200697,[TikTok](https://www.tiktok.com/@johnpaulkingusa)
Zohare,Left-Leaning,1,472099,59307,22,21459,2589225,2589225,[TikTok](https://www.tiktok.com/@rudaleh/video/7550406316120902925)
Megyn Kelly,Right-Leaning,15,468103,119807,69,6784,12513064,12513064,[TikTok](https://www.tiktok.com/@megynkellyshow)
Ding News,Right-Leaning,-102,467840,-957448,27,17327,4132319,4132319,[TikTok](https://www.tiktok.com/@dingnewscorp)
Cody Dahler,Left-Leaning,-60,464858,-334765,7,66408,2324294,2324294,[TikTok](https://www.tiktok.com/@mrcodydahler)
Riley Gaines Barker,Right-Leaning,83,462713,255337,9,51413,3848591,3848591,[TikTok](https://www.tiktok.com/@rileygaines)
ItsLuke,Left-Leaning,-10,454047,17171,13,34927,1668616,1668616,[TikTok](https://www.tiktok.com/@itsluke7)
The Speaker Is Weird,Left-Leaning,-84,448189,-624849,18,24899,1389511,1389511,[TikTok](https://www.tiktok.com/@thespeakerisweird)
Gina Hinojosa,Left-Leaning,118,445943,296833,19,23471,2876770,2876770,[TikTok](https://www.tiktok.com/@ginafortexas)
Maggie Reed,Left-Leaning,-37,445320,-106799,74,6018,2111193,2111193,[TikTok](https://tiktok.com/@mermaidmamamaggie)
TRT World,Neutral,-26,435602,-54300,184,2367,6577355,6577355,[TikTok](https://www.tiktok.com/@trtworld)
Pastor Paul Drees,Left-Leaning,40,434343,167120,13,33411,1908098,1908098,[TikTok](https://www.tiktok.com/@pastorpauldrees)
Millennial Mia,Left-Leaning,18,432929,114023,125,3463,4288039,4288039,[TikTok](https://www.tiktok.com/@millennial.mia)
Yahoo News,Neutral,119,429983,287374,49,8775,12741228,12741228,[TikTok](https://www.tiktok.com/@yahoonews)
Robert Reich,Left-Leaning,145,427655,312373,30,14255,3131710,3131710,[TikTok](https://tiktok.com/@rbreich)
Thee Black Daily,Left-Leaning,-119,426931,-1164168,78,5473,2448347,2448347,[TikTok](https://www.tiktok.com/@theeblackdaily)
Joe Neguse,Left-Leaning,362,424209,406138,2,212105,2751500,2751500,[TikTok](https://www.tiktok.com/@repjoeneguse)
NYT Opinion,Neutral,11,423773,103908,28,15135,4167818,4167818,[TikTok](https://www.tiktok.com/@nytopinion)
Marcus DiPaola,Neutral,-109,421862,-872677,21,20089,3412027,3412027,[TikTok](https://tiktok.com/@marcus.dipaola)
CBS Philadelphia,Neutral,-3,420263,62816,212,1982,10119511,10119511,[TikTok](https://www.tiktok.com/@cbsphiladelphia)
Pullups Pasta Politics,Left-Leaning,-49,413652,-140965,127,3257,3464928,3464928,[TikTok](https://www.tiktok.com/@pullupspastapolitics)
Nessa Diosdado,Left-Leaning,-6,396176,34356,38,10426,2327832,2327832,[TikTok](https://www.tiktok.com/@nessadiosdado)
Face the Nation,Neutral,-131,390234,-1257760,132,2956,12332656,12332656,[TikTok](https://tiktok.com/@facethenation)
Clay (What in Claynation),Left-Leaning,-5,382856,36351,147,2604,3767374,3767374,[TikTok](https://www.tiktok.com/@whatinclaynation)
BloxCast,Neutral,-58,380795,-199091,50,7616,2746743,2746743,[TikTok](https://www.tiktok.com/@bloxcast_)
