entity,political_lean,rank_change,total_engagements,engagements_change,posts,avg_engagements,total_views,Non_Twitter_Views,platforms
Benny Johnson,Right-Leaning,119,211739,137676,57,3715,2797298,2797298,"[TikTok](https://tiktok.com/@realbennyjohnson), [TikTok](https://www.tiktok.com/@bennyjohnson)"
CortlenFixesEverything,Left-Leaning,,211077,,16,13192,920328,920328,[TikTok](https://www.tiktok.com/@cortlenfixeseverything)
Telemundo Miami,Neutral,,209938,,14,14996,7444600,7444600,[TikTok](https://www.tiktok.com/@telemundo51miami)
WFF News,Right-Leaning,-7,209529,-56749,32,6548,2269193,2269193,[TikTok](https://tiktok.com/@wffnews)
Somaya (arguablysomaya),Left-Leaning,79,208400,94582,17,12259,1018741,1018741,[TikTok](https://www.tiktok.com/@arguablysomaya)
Abdalkarim,Neutral,-125,206283,-672674,14,14735,445360,445360,[TikTok](https://www.tiktok.com/@heyitsmeagainguys)
John Fredericks,Right-Leaning,122,205703,140771,29,7093,2576256,2576256,[TikTok](https://www.tiktok.com/@jfradioshow)
Eliza Orlins,Left-Leaning,28,198429,24149,45,4410,1160113,1160113,[TikTok](https://tiktok.com/@elizaorlins)
Heidy Torres,Left-Leaning,208,195789,173284,52,3765,2646811,2646811,[TikTok](https://tiktok.com/@heidytorr)
Ilhan Omar,Left-Leaning,176,193892,160704,12,16158,2902900,2902900,"[TikTok](https://tiktok.com/@rep_ilhan), [TikTok](https://www.tiktok.com/@ilhanmn)"
Pat Loller,Left-Leaning,-196,193684,-2034309,2,96842,705700,705700,[TikTok](https://www.tiktok.com/@patloller)
Econ with Sarah,Left-Leaning,296,193489,185971,12,16124,2670000,2670000,[TikTok](https://www.tiktok.com/@econwithsarah)
Dave Jorgenson,Neutral,20,192610,8715,13,14816,1403836,1403836,[TikTok](https://www.tiktok.com/@davejorgenson)
Link Lauren,Right-Leaning,-76,190394,-238172,4,47599,959400,959400,[TikTok](https://tiktok.com/@itslinklauren)
Jamira Burley,Left-Leaning,50,190172,56836,65,2926,1302367,1302367,[TikTok](https://tiktok.com/@jawnontheinternet)
Adam Schiff,Left-Leaning,69,186505,73726,5,37301,1331600,1331600,[TikTok](https://www.tiktok.com/@adamschiff)
Thiqydusty,Left-Leaning,-56,184516,-173623,4,46129,568200,568200,[TikTok](https://www.tiktok.com/@thiqydusty)
Ed Galvatron Paris,Right-Leaning,1,184294,-32452,104,1772,1912914,1912914,[TikTok](https://www.tiktok.com/@edgalvatronparis)
