entity,political_lean,rank_change,total_engagements,engagements_change,posts,avg_engagements,total_views,Non_Twitter_Views,platforms
News Doode,Left-Leaning,-129,52596,21340,30,1753,366723,366723,"[TikTok](https://www.tiktok.com/@the.doode), [TikTok](https://www.tiktok.com/@my_doode)"
USA2024,Right-Leaning,-38,52215,46718,3,17405,390067,390067,[TikTok](https://tiktok.com/@2024usa)
Johnny Harris,Left-Leaning,-51,52031,44911,5,10406,835411,835411,[TikTok](https://www.tiktok.com/@johnny.harris)
When We All Vote,Left-Leaning,13,51522,49043,18,2862,294993,294993,[TikTok](https://tiktok.com/@whenweallvotesquad)
Casey Mama Sissie,Left-Leaning,-123,50955,24370,66,772,283350,283350,[TikTok](https://tiktok.com/@mamasissiesays)
Sheldon Whitehouse,Left-Leaning,-120,50265,25455,4,12566,369247,369247,[TikTok](https://www.tiktok.com/@senwhitehouse)
Matthew Rein,Left-Leaning,-111,49013,30236,46,1065,629445,629445,[TikTok](https://tiktok.com/@matthew.rein)
Texas Paul,Left-Leaning,,46811,,12,3901,242023,242023,[TikTok](https://www.tiktok.com/@paultx890)
Tayhlor Coleman,Left-Leaning,-86,46743,34388,11,4249,200684,200684,[TikTok](https://www.tiktok.com/@tayhlorcoleman)
Tiffany Cianci,Neutral,-9,45513,42441,7,6502,304715,304715,[TikTok](https://tiktok.com/@tiffanycianci)
Party for Socialism & Liberation,Left-Leaning,,45458,,4,11365,920923,920923,[TikTok](https://www.tiktok.com/@pslnational)
Chris Valenti,Left-Leaning,,45189,,2,22595,253907,253907,[TikTok](https://www.tiktok.com/@valentivideos.alt)
ecofran,Left-Leaning,-184,44913,-12414,16,2807,218661,218661,[TikTok](https://tiktok.com/@ecofran)
Arielle Reitsma,Right-Leaning,,44730,,2,22365,254736,254736,[TikTok](https://www.tiktok.com/@ariellereitsma)
CBS New York,Neutral,,44205,,1,44205,1033910,1033910,[TikTok](https://www.tiktok.com/@cbsnewyork)
Paola Ramos,Left-Leaning,-136,43442,16456,4,10861,358799,358799,[TikTok](https://www.tiktok.com/@pa0ram0s)
Victor Nieves,Right-Leaning,-73,43027,34005,16,2689,343461,343461,[TikTok](https://www.tiktok.com/@notvictornieves)
Kristan Hawkins,Right-Leaning,-145,42546,12562,6,7091,292357,292357,[TikTok](https://www.tiktok.com/@kristanmercerhawkins)
Seattle Aquarium,Left-Leaning,,42342,,1,42342,208550,208550,[TikTok](https://www.tiktok.com/@seattleaquarium_official)
