entity,political_lean,rank_change,total_engagements,engagements_change,posts,avg_engagements,total_views,Non_Twitter_Views,platforms
Protect Our Care,Left-Leaning,325,154294,151391,43,3588,1908194,1908194,[TikTok](https://tiktok.com/@protectourcare)
Richie Fontaine,Left-Leaning,-8,152716,77717,7,21817,570442,570442,[TikTok](https://www.tiktok.com/@fontvne)
Nancy Mace,Right-Leaning,253,151812,145503,34,4465,1427532,1427532,[TikTok](https://www.tiktok.com/@basedmace)
Democratic Governors Association (DGA),Left-Leaning,-177,148153,-192746,31,4779,1383162,1383162,[TikTok](https://tiktok.com/@demgovs)
Pissed Magistus,Left-Leaning,-79,146424,-1517,16,9152,932487,932487,[TikTok](https://www.tiktok.com/@pissedmagistus)
Kalamazoo Gazette (MLive),Neutral,-41,145727,51891,27,5397,2644451,2644451,[TikTok](https://www.tiktok.com/@mlivenews)
Vote In or Out,Left-Leaning,-7,142457,70735,424,336,1400843,1400843,[TikTok](https://www.tiktok.com/@voteinorout)
Fortune Magazine,Neutral,59,140550,98340,34,4134,1627871,1627871,[TikTok](https://www.tiktok.com/@fortune)
Anthony Kort,Right-Leaning,-59,139727,28839,13,10748,1217070,1217070,[TikTok](https://www.tiktok.com/@anthonykort)
Ben Shapiro,Right-Leaning,34,139374,86943,38,3668,1914190,1914190,[TikTok](https://www.tiktok.com/@real.benshapiro)
Rutger Bregman,Left-Leaning,312,139012,135991,6,23169,1031614,1031614,[TikTok](https://www.tiktok.com/@rutgerbregman)
Angel Barragan,Left-Leaning,-53,138677,40431,88,1576,956162,956162,[TikTok](https://tiktok.com/@senor_barragan)
Matt Gordon,Left-Leaning,-37,137420,47425,9,15269,1080326,1080326,[TikTok](https://www.tiktok.com/@usmcangryveteran)
American Bridge 21st Century,Left-Leaning,10,137225,76628,37,3709,3078375,3078375,[TikTok](https://tiktok.com/@american_bridge)
Michael Liner,Neutral,32,136940,85337,43,3185,2781764,2781764,[TikTok](https://tiktok.com/@backwardshatbarrister)
When We All Vote,Left-Leaning,169,135910,122011,11,12355,570032,570032,[TikTok](https://tiktok.com/@whenweallvotesquad)
