entity,political_lean,rank_change,total_engagements,engagements_change,posts,avg_engagements,total_views,Non_Twitter_Views,platforms
Keep It Real Blk,Left-Leaning,,51798,,4,12950,434963,434963,[TikTok](https://www.tiktok.com/@keepitrealblk)
Mike Levin,Left-Leaning,298,51580,46942,14,3684,477255,477255,"[TikTok](https://www.tiktok.com/@repmikelevin), [TikTok](https://www.tiktok.com/@mikelevinca)"
Chicks On The Right,Right-Leaning,12,51540,-18896,52,991,429871,429871,[TikTok](https://tiktok.com/@chicksonright)
The Sacramento Bee,Neutral,202,51426,39191,22,2338,710437,710437,[TikTok](https://www.tiktok.com/@sacramentobee)
Human Rights Campaign,Left-Leaning,104,51319,20868,44,1166,388716,388716,[TikTok](https://tiktok.com/@humanrightscampaign)
Eumie Michelle,Left-Leaning,-352,50419,-1669129,2,25210,353371,353371,[TikTok](https://www.tiktok.com/@eumiexx)
blackmenaces,Left-Leaning,185,49998,36536,82,610,630923,630923,[TikTok](https://www.tiktok.com/@blackmenaces)
Sunrise Movement,Left-Leaning,-107,49916,-120086,15,3328,328022,328022,[TikTok](https://tiktok.com/@sunrisemvmt)
Mrs. Frazzled,Left-Leaning,-238,49765,-414616,60,829,485005,485005,[TikTok](https://www.tiktok.com/@mrs.frazzled)
Katie Hopkins,Right-Leaning,,49389,,15,3293,469414,469414,[TikTok](https://www.tiktok.com/@kt_hopkins/)
Kristan Hawkins,Right-Leaning,-49,48917,-51384,2,24459,376684,376684,[TikTok](https://www.tiktok.com/@kristanmercerhawkins)
Dellara,Left-Leaning,60,48855,10074,6,8143,225371,225371,[TikTok](https://tiktok.com/@dellara)
Atlanta News First,Neutral,107,48204,19282,25,1928,458449,458449,[TikTok](https://www.tiktok.com/@atlantanewsfirst)
Nancy Mace,Right-Leaning,-98,48130,-103682,43,1119,622618,622618,[TikTok](https://www.tiktok.com/@basedmace)
Epistemic,Left-Leaning,-178,47745,-226893,1,47745,301089,301089,[TikTok](https://www.tiktok.com/@epistemiccrisis)
Jess Piper,Left-Leaning,-47,46799,-48886,31,1510,200580,200580,[TikTok](https://tiktok.com/@jesspipermo)
Zach Foust,Neutral,-225,46717,-338471,14,3337,284826,284826,[TikTok](https://www.tiktok.com/@zacharyloft)
Robert Arnold,Left-Leaning,-213,46428,-311465,3,15476,182800,182800,[TikTok](https://www.tiktok.com/@defiance13)
DOGE Update Guy,Right-Leaning,93,46140,16435,23,2006,695035,695035,[TikTok](https://www.tiktok.com/@dug_dogeupdateguy)
TMJ4 News (Milwaukee NBC),Neutral,-82,45749,-80615,22,2080,504840,504840,[TikTok](https://www.tiktok.com/@tmj4news)
TalkUrShxxtNene,Left-Leaning,,45322,,5,9064,225900,225900,[TikTok](https://www.tiktok.com/@jusnene)
Rachel Gilmore,Left-Leaning,16,43299,-15309,19,2279,337622,337622,[TikTok](https://www.tiktok.com/@rachel_gilmore)
Luke Beasley,Left-Leaning,-132,42671,-143382,30,1422,906477,906477,[TikTok](https://www.tiktok.com/@lukebeasleyofficial)
Brenna Overbay,Right-Leaning,,42498,,1,42498,210639,210639,[TikTok](https://www.tiktok.com/@realbrennabrown)
Politifact,Neutral,134,42470,23619,28,1517,1127643,1127643,[TikTok](https://www.tiktok.com/@politifact)
Craig Long,Right-Leaning,-146,42465,-161558,28,1517,449946,449946,[TikTok](https://tiktok.com/@craiglong45)
Sheldon Whitehouse,Left-Leaning,112,42423,19495,16,2651,343999,343999,[TikTok](https://www.tiktok.com/@senwhitehouse)
LEX 18 / WLEX (Lexington NBC),Neutral,54,41628,5780,8,5204,436465,436465,[TikTok](https://www.tiktok.com/@lex18news)
Daily Beltway,Right-Leaning,-48,41603,-50239,49,849,399273,399273,[TikTok](https://www.tiktok.com/@dailybeltway)
CAP Action,Left-Leaning,119,41057,20586,42,978,717359,717359,[TikTok](https://tiktok.com/@fightforprogress)
Steven Bonnell II - Destiny,Left-Leaning,-82,40987,-74957,32,1281,544974,544974,[TikTok](https://www.tiktok.com/@destinydebates)
Scott Galloway,Neutral,39,40850,1404,29,1409,680708,680708,[TikTok](https://www.tiktok.com/@profgalloway)
Tiffany Fanae Butler,Right-Leaning,-70,40829,-59255,14,2916,205318,205318,[TikTok](https://www.tiktok.com/@thatsme_tiffany)
Graham Platner,Left-Leaning,-43,40590,-44803,48,846,395410,395410,[TikTok](https://www.tiktok.com/@grahamformaine)
Fortune Magazine,Neutral,-114,40102,-100448,31,1294,977535,977535,[TikTok](https://www.tiktok.com/@fortune)
ABC15 Arizona,Neutral,-193,39241,-227783,22,1784,683021,683021,[TikTok](https://www.tiktok.com/@abc15arizona)
Alan Vargas,Left-Leaning,,38829,,24,1618,197613,197613,[TikTok](https://www.tiktok.com/@thealanvargas)
Alyssa Barber,Left-Leaning,187,38726,27787,12,3227,449542,449542,[TikTok](https://tiktok.com/@newlifestyleabb)
D.A.R.Y.L.2.0,Left-Leaning,35,38176,658,100,382,300670,300670,[TikTok](https://tiktok.com/@d.a.r.y.l.2.0)
